X,Y,OBJECTID,PORTFOLIO_MANAGER_ID,STREET_ADDRESS,PROPERTY_NAME,PHILADELPHIA_BUILDING_ID,POSTAL_CODE,NUM_OF_BUILDINGS,YEAR_BUILT,PRIMARY_PROP_TYPE_EPA_CALC,TOTAL_FLOOR_AREA_BLD_PK_FT2,ELECTRICITY_USE_KBTU,NATURAL_GAS_USE_KBTU,FUEL_OIL_02_USE_KBTU,STEAM_USE_KBTU,ENERGY_STAR_SCORE,SITE_EUI_KBTUFT2,SOURCE_EUI_KBTUFT2,WATER_USE_ALL_KGAL,WATER_SCORE,TOTAL_GHG_EMISSIONS_MTCO2E,NOTES,X_COORD,Y_COORD
-75.11558394,40.01017662,1,1273633,4000 G Street,PECO G and Luzerne Service Center,777607000,19124,1,1951,Mixed Use Property,22230,1062942.7,1044058.2,,,,94.8,183.2,0.2,,157.2,,-75.11558394,40.01017662
-75.2367280299999,40.0633496200001,2,1296342,8500 Henry Avenue,10274-Andorra - Solar,882116500,19128,1,1997,Retail Store,82784,1512450.9,631100,,,100,25.9,35.9,133,,178.3,,-75.23672803,40.06334962
-75.19384675,39.9487795800001,3,1328441,34th Street and Civic Center Blvd.,The Children's Hospital fo Philadelphia,"773000800, 773001000, 773003070,  773001500,
883209520,883081725,773740500, 773740200, 773513200, 773003030, 773003050",19104,9,1974,Other - Specialty Hospital,6353396,598307165.6,647566013.9,900864,1075.2,,196.2,370.8,201379.3,,91726.4,,-75.19384675,39.94877958
-75.19366174,39.9565365600001,4,1339876,3535 Market Street,3535 Market,883073000,19104,1,1973,Medical Office,503408,16026914.6,,,2932748.3,94,38.3,97.9,1458.9,,1728.7,,-75.19366174,39.95653656
-75.16941515,39.9522085500001,5,1440658,30 South 17th Street,30 South 17th Street,883051500,19103,1,1975,Office,761162,34713892.7,,,10609360.2,72,63.1,153.1,10894.3,,4026.9,,-75.16941515,39.95220855
-75.1500157899999,39.95441256,6,1452163,190 N. Independence Mall West,American College of Physicians Headquarters,"771523010;771751700",19106,1,1998,Office,322610,10859198.4,4328763.6,,,79,56.2,129.3,2048.4,,1269.3,,-75.15001579,39.95441256
-75.15850468,39.9523126,7,1467329,1101 Market Street,Jefferson Center,883308700,19107,1,1984,Office,759072,28255604.5,17536333.7,,,80,60.3,128.5,5775.7,,3635.8,,-75.15850468,39.9523126
-75.1660151899999,39.95301764,8,1476210,Suite 1040,1515 Market Street,883337500,19102,1,1958,Office,523500,26005639.6,8476.1,,10225543.7,58,69.2,162.6,6789.1,,3168.4,,-75.16601519,39.95301764
-75.18248116,39.95738271,9,1485471,2929 ARCH STREET,CIRA CENTRE,883062400,19104,1,2005,Office,788093.1,46750132.2,,,,82,59.3,166.1,7440.5,,4474.5,,-75.18248116,39.95738271
-75.17012059,39.95639879,10,1485500,130 NORTH 18TH STREET,ONE LOGAN SQUARE,883061505,19103,1,1983,Office,1111787,37839728.3,9779496.2,,,92,42.8,104.5,6040.1,,4141.1,,-75.17012059,39.95639879
-75.16978354,39.9557261,11,1485534,100 NORTH 18TH STREET,TWO LOGAN SQUARE,883061805,19103,1,1988,Office,808040,44796864.5,,,,87,55.4,155.2,8880.4,,4287.5,,-75.16978354,39.9557261
